交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(元)
20260325,1377.51248713,1385.09309921,1368.62285183,1377.66878841,1374.79675239,2.872036019999996,0.2089,2609346,3677905549.06
20260326,1376.428147,1381.2148737,1367.9292649,1368.78892194,1377.66878841,-8.879866470000024,-0.6446,2309289,3243387502.43
20260327,1367.6362,1393.035158,1364.37341078,1383.28586566,1368.78892194,14.49694371999999,1.0591,3008711,4257499781.14
20260330,1374.474381,1397.919573,1370.09794516,1387.17386,1383.28586566,3.887994340000205,0.2811,2868459,4060684934.29
20260331,1434.064244,1445.71845819,1414.92710603,1416.48035,1387.17386,29.30648999999994,2.1127,6169066,9015486796.86
20260401,1430.63538467,1436.00824117,1419.29377304,1425.70212552,1416.48035,9.221775519999937,0.651,2912514,4256185471.72
20260402,1425.70212552,1431.01636904,1418.5318043,1426.13195404,1425.70212552,0.42982852000000094,0.0301,2106437,3071809845.5
20260403,1425.79981382,1435.97893468,1421.364765,1426.24918,1426.13195404,0.1172259600000416,0.0082,2019373,2953993080.58
20260407,1426.29802415,1436.01801,1401.87594915,1406.73105766,1426.24918,-19.51812233999999,-1.3685,2415218,3507471653.28
20260408,1426.24918,1435.11927764,1418.56111079,1431.15313266,1406.73105766,24.42207499999995,1.7361,3383610,4947937006.76
20260409,1431.15313266,1431.15313266,1414.0381425,1426.72785267,1431.15313266,-4.4252799900000355,-0.3092,2070476,3012278579.26
20260410,1425.40906062,1425.96588393,1407.7860913,1420.34880668,1426.72785267,-6.379045989999895,-0.4471,2886556,4187181528.88
20260413,1410.619052,1413.0612595,1399.873339,1409.94500273,1420.34880668,-10.40380395000011,-0.7325,2521364,3629675490.26
20260414,1409.2514158,1415.1127138,1401.827105,1413.4520127,1409.94500273,3.5070099700001265,0.2487,2423261,3492544229.78
20260415,1411.57639734,1436.78974757,1408.665286,1433.5758025,1413.4520127,20.12378979999994,1.4237,3455348,5049317186.54
